keyword,market,location_code,source,search_volume,cpc,competition,competition_level,main_intent,trend_last12
fine art prints,,,seed,,,,,,
art prints,,,seed,,,,,,
giclee prints,,,seed,,,,,,
giclee art prints,,,seed,,,,,,
contemporary art prints,,,seed,,,,,,
large fine art prints,,,seed,,,,,,
buy art prints,,,seed,,,,,,
original paintings for sale,,,seed,,,,,,
original landscape painting,,,seed,,,,,,
contemporary landscape painting,,,seed,,,,,,
landscape art,,,seed,,,,,,
landscape prints,,,seed,,,,,,
seascape art,,,seed,,,,,,
seascape prints,,,seed,,,,,,
coastal wall art,,,seed,,,,,,
modern coastal wall art,,,seed,,,,,,
ocean fine art prints,,,seed,,,,,,
large landscape wall art,,,seed,,,,,,
neutral landscape wall art,,,seed,,,,,,
calming landscape wall art,,,seed,,,,,,
serene landscape art,,,seed,,,,,,
contemporary landscape prints,,,seed,,,,,,
modern seascape prints,,,seed,,,,,,
minimalist landscape prints,,,seed,,,,,,
minimalist landscape art,,,seed,,,,,,
modern landscape art,,,seed,,,,,,
blue wall art,,,seed,,,,,,
blue artwork,,,seed,,,,,,
blue coastal wall art,,,seed,,,,,,
blue coastal art prints,,,seed,,,,,,
large blue wall art,,,seed,,,,,,
blue art for living room,,,seed,,,,,,
modern blue wall art,,,seed,,,,,,
modern wall art,,,seed,,,,,,
large wall art,,,seed,,,,,,
art for living room,,,seed,,,,,,
art for bedroom,,,seed,,,,,,
calming wall art,,,seed,,,,,,
serene wall art,,,seed,,,,,,
statement wall art,,,seed,,,,,,
large wall art for living room,,,seed,,,,,,
minimalist wall art,,,seed,,,,,,
